date,price,rsi,macd,bb_upper,bb_lower,momentum,volatility,rsi_signal,macd_signal,bb_signal,momentum_signal,volatility_signal,combined_signal,position
2025-09-08,4297.05,49.505952357339744,0.6967393880417271,4318.1125006009715,4278.591499399028,3.5700000000006185,9.880250300486024,0,1,0,1,0,0.5,2
2025-09-08,4292.21,47.470187478968896,-0.0007933940982814969,4317.323627382668,4278.042372617332,-7.789999999999964,9.820313691334132,0,-1,0,-1,0,-0.5,2
2025-09-08,4291.78,47.2841529373068,-0.4723760050412016,4315.551349173988,4277.905650826011,3.6700000000000728,9.411424586994332,0,-1,0,1,0,-0.09999999999999998,0
2025-09-08,4301.79,52.00004421682948,-0.11028323561853581,4315.638307032975,4277.906692967025,-7.670000000000073,9.432903516487327,0,-1,0,-1,0,-0.5,0
2025-09-08,4318.93,58.79697866616382,1.210630910760417,4318.385444755057,4276.5305552449445,12.740000000000691,10.463722377528054,0,1,-1,1,0,0.3,0
2025-09-08,4328.69,62.0889897259198,2.589537586794269,4323.865270492433,4273.923729507567,29.829999999999927,12.4853852462165,0,1,-1,1,0,0.3,0
2025-09-08,4312.41,54.29623190286242,2.2647942446385434,4325.203906695147,4273.888093304853,20.01000000000022,12.828953347573531,0,1,0,1,0,0.5,0
2025-09-08,4320.46,57.15947074611453,2.4367814953542553,4327.530755225444,4275.201244774556,11.359999999999673,13.082377612722004,0,1,-1,1,0,0.3,2
2025-09-08,4320.12,56.99705590440363,2.3701098851658697,4328.078872560656,4279.136127439344,8.25,12.235686280328046,0,1,-1,1,0,0.3,2
2025-09-08,4350.72,66.28279158959774,4.1264631191950425,4336.970008617333,4277.2079913826665,52.57000000000062,14.940504308666684,0,1,-1,1,0,0.3,2
2025-09-08,4371.64,70.90786526527617,6.306222039054243,4351.3468471370925,4270.647152862908,74.59000000000015,20.174923568545946,-1,1,-1,1,0,0.09999999999999998,2
2025-09-08,4339.02,57.63262461077918,5.2059259991579285,4354.730238619206,4271.165761380793,46.8100000000004,20.891119309603138,0,1,-1,1,0,0.3,2
2025-09-08,4311.48,49.249358825877884,2.419762766066948,4354.3326615647675,4273.900338435233,19.699999999999818,20.108080782383734,0,1,0,1,0,0.5,2
2025-09-08,4329.71,54.01745750014352,1.6384052616740696,4355.841822009802,4274.416177990198,27.920000000000073,20.3564110049011,0,1,0,1,0,0.5,2
2025-09-08,4293.0,44.87451710735958,-1.3552955071485346,4356.15584667349,4272.783153326511,-25.93000000000029,20.843173336744517,0,-1,0,-1,0,-0.5,2
2025-09-08,4298.45,46.326978492338476,-2.885073733583984,4356.166423170756,4272.731576829243,-30.23999999999978,20.85871158537851,0,-1,0,-1,0,-0.5,0
2025-09-08,4322.17,52.22680621435668,-2.244575784298438,4356.5105446849175,4275.3644553150825,9.760000000000218,20.286522342458888,0,-1,0,1,0,-0.09999999999999998,0
2025-09-08,4311.14,49.50190531648418,-2.4899147096021395,4356.553488436075,4275.525511563925,-9.319999999999709,20.256994218037345,0,-1,0,-1,0,-0.5,0
2025-09-08,4306.37,48.32760265438563,-2.872444359739206,4356.462210734411,4275.066789265587,-13.75,20.348855367205882,0,-1,0,-1,0,-0.5,0
2025-09-09,4301.99,47.21989897398248,-3.2894738913934596,4356.355131796059,4275.557868203941,-48.73000000000047,20.19931589802943,0,-1,0,-1,0,-0.5,0
2025-09-09,4286.66,43.46482091812716,-4.397571945665314,4357.043919664916,4273.830080335084,-84.98000000000047,20.803459832458156,0,-1,1,-1,0,-0.3,0
2025-09-09,4290.82,44.74883912507077,-4.626900806832812,4357.13371930452,4273.60128069548,-48.20000000000073,20.88310965225996,0,-1,0,-1,0,-0.5,0
2025-09-09,4306.63,49.447937249559494,-3.539390938159946,4356.68347162895,4275.536528371049,-4.849999999999454,20.286735814475527,0,-1,0,-1,0,-0.5,0
2025-09-09,4313.56,51.399143063767056,-2.242154996177754,4356.762315232542,4276.634684767459,-16.149999999999636,20.03190761627093,0,-1,0,-1,0,-0.5,0
2025-09-09,4318.87,52.89930280197279,-0.9797443567807882,4356.758655379975,4276.632344620025,25.86999999999989,20.03157768998756,0,-1,0,1,0,-0.09999999999999998,0
2025-09-09,4365.66,63.57006007642893,2.8440505366107427,4363.733815843762,4273.354184156237,67.21000000000004,22.59490792188129,0,1,-1,1,0,0.3,0
2025-09-09,4361.53,62.2299240985879,4.816744203251498,4369.785507684096,4272.214492315904,39.35999999999967,24.39275384204797,0,1,-1,1,0,0.3,0
2025-09-09,4359.68,61.60344354582631,5.660317560167944,4374.573148143711,4271.34885185629,48.539999999999964,25.806074071855207,0,1,-1,1,0,0.3,0
2025-09-09,4357.2,60.72095004313987,5.698852535445136,4378.507756866891,4271.12224313311,50.82999999999993,26.84637843344556,0,1,-1,1,0,0.3,0
2025-09-09,4348.73,57.68173616338194,4.8355283382615495,4378.222921718651,4271.208078281349,46.73999999999978,26.753710859325704,0,1,0,1,0,0.5,0
2025-09-09,4347.34,57.17596705687645,3.89300107730664,4373.691446783213,4273.309553216787,60.68000000000029,25.09547339160635,0,1,0,1,0,0.5,2
2025-09-09,4345.19,56.35289370826039,2.8928653454394553,4374.451535047399,4273.166464952599,54.36999999999989,25.321267523699944,0,1,0,1,0,0.5,2
2025-09-09,4347.42,57.04361654896572,2.181978450008984,4376.917251553694,4274.294748446306,40.789999999999964,25.65562577684693,0,1,0,1,0,0.5,2
2025-09-09,4306.24,43.38864950057586,-1.0856449692622618,4376.384169414895,4272.480830585105,-7.3200000000006185,25.97583470744761,0,-1,0,-1,0,-0.5,2
2025-09-09,4284.94,38.283865910131084,-4.513317529144388,4377.063992728892,4270.995007271107,-33.93000000000029,26.517246364446464,0,-1,1,-1,0,-0.3,0
2025-09-09,4288.11,39.42608958097681,-6.289716532928652,4377.722906703909,4269.302093296091,-77.55000000000018,27.105203351954728,0,-1,1,-1,0,-0.3,0
2025-09-09,4285.91,38.88816914826301,-7.2663728095409175,4378.339145646934,4265.059854353065,-75.61999999999989,28.319822823467497,0,-1,1,-1,0,-0.3,0
2025-09-09,4286.64,39.18467429513405,-7.487020614029898,4379.0029551223315,4261.946044877667,-73.03999999999996,29.26422756116591,0,-1,0,-1,0,-0.5,0
2025-09-09,4295.0,42.61826644015012,-6.718257022618113,4379.18744681088,4260.62455318912,-62.19999999999982,29.64072340543989,0,-1,0,-1,0,-0.5,0
2025-09-09,4304.88,46.46513817801069,-5.257334278402693,4379.170428442261,4260.9305715577375,-43.849999999999454,29.55996422113079,0,-1,0,-1,0,-0.5,0
2025-09-09,4302.43,45.64789996132101,-4.2140528374752515,4378.560662450205,4263.117337549795,-44.909999999999854,28.860831225102828,0,-1,0,-1,0,-0.5,0
2025-09-09,4318.6,51.687517125482934,-2.2893418323492263,4378.306940646149,4266.149059353851,-26.589999999999236,28.03947032307435,0,-1,0,-1,0,-0.5,0
2025-09-09,4310.09,48.625143330300766,-1.4828664537322682,4378.3074804472735,4266.494519552726,-37.32999999999993,27.953240223636975,0,-1,0,-1,0,-0.5,0
2025-09-10,4285.73,41.115628641291515,-2.427686492880887,4379.070754369799,4262.948245630201,-20.51000000000022,29.030627184899313,0,-1,1,-1,0,-0.3,0
2025-09-10,4302.78,47.255508447972716,-1.7724328966842382,4378.80591995863,4261.60408004137,17.840000000000146,29.30045997931461,0,-1,0,1,0,-0.09999999999999998,0
2025-09-10,4317.27,51.85045727503138,-0.3079671069739689,4372.549934983008,4263.021065016992,29.160000000000764,27.38221749150392,0,-1,0,1,0,-0.09999999999999998,0
2025-09-10,4320.44,52.81884155111055,0.8652134568900407,4366.730534076398,4264.731465923602,34.529999999999745,25.499767038199224,0,1,0,1,0,0.5,0
2025-09-10,4312.27,50.02628916511702,1.068657716403591,4360.206718406733,4266.514281593267,25.63000000000011,23.423109203366582,0,1,0,1,0,0.5,2
2025-09-10,4308.54,48.75882085371539,0.9345399032530954,4353.249566525642,4268.605433474358,13.539999999999964,21.161033262821146,0,1,0,1,0,0.5,2
2025-09-10,4312.99,50.3742278546942,1.1157738845565741,4347.785406766812,4270.495593233187,8.109999999999673,19.322453383406195,0,1,0,1,0,0.5,2
2025-09-10,4329.82,56.02119266709326,2.2726832801517958,4344.0981057216195,4272.430894278379,27.389999999999418,17.91680286081017,0,1,-1,1,0,0.3,2
2025-09-10,4332.41,56.83521757166688,3.066536583555717,4341.186139728772,4274.064860271228,13.80999999999949,16.780319864386115,0,1,-1,1,0,0.3,2
2025-09-10,4325.08,53.8001615071889,2.9511577777528144,4335.928514462873,4277.088485537127,14.989999999999782,14.710007231436325,0,1,-1,1,0,0.3,2
2025-09-10,4326.93,54.461134680648854,2.8510581166198246,4338.27815257848,4276.807847421519,41.20000000000073,15.367576289240464,0,1,-1,1,0,0.3,2
2025-09-10,4331.31,56.06383594204529,2.920743068304466,4340.421977270531,4279.301022729469,28.530000000000655,15.280238635265569,0,1,-1,1,0,0.3,2
2025-09-10,4370.99,67.29388338085843,5.339299294217862,4352.96657004425,4275.04442995575,53.719999999999345,19.4805350221249,0,1,-1,1,0,0.3,2
2025-09-10,4417.92,75.3264546234148,9.553806535339193,4378.446053734443,4262.7659462655565,97.48000000000047,28.920026867221797,-1,1,-1,1,0,0.09999999999999998,2
